Number of cores, Time (ms) ,
1,101003,21459.3
2,101484,23193.2
3,61014.5,24892.7
4,62615.8,26039.3
5,41196.4,23313.7
6,37398.2,21629.8
7,31179.5,21075.7
8,32827.1,20331.1
9,23875.3,19928.2
10,21362,19978.7
11,26079.3,17927.3
12,57715,15516.9
13,47905.9,16228.4
14,32182.9,16079.7
15,39820.8,14883.9
16,32598.9,14173.7
17,32048.8,13739.3
18,25707.5,15209.2
19,25290.6,13333.1
20,30242.2,12714.6
21,25002.8,13465.2
22,18958.8,12616.9
23,22272.4,12528.1
24,26565.4,12938.2
25,19482.1,15174.2
